,phylum,class,order,family,genus,species,taxon
887,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,,Azospirillum
892,Proteobacteria,Alphaproteobacteria,Holosporales,,,,Holosporales
1033,Proteobacteria,Alphaproteobacteria,,,,,Alphaproteobacteria
1239,Spirochaetes <phylum>,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema succinifaciens,Treponema succinifaciens DSM 2489
1241,Spirochaetes <phylum>,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,,Treponema
1257,Spirochaetes <phylum>,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,,Treponema
1523,Cyanobacteria,,,,,,Cyanobacteria
1527,Cyanobacteria,,,,,,Cyanobacteria
1715,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,Oscillibacter sp. PEA192,Oscillibacter sp. PEA192
1724,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ethanoligenens,Ethanoligenens harbinense,Ethanoligenens harbinense YUAN-3
1727,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,,Hungateiclostridiaceae bacterium KB18,Hungateiclostridiaceae bacterium KB18
1729,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Caproiciproducens,Caproiciproducens sp. NJN-50,Caproiciproducens sp. NJN-50
1733,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
1736,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii
1742,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
1746,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,,,Hungateiclostridiaceae
1748,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp. BNL1100,Clostridium sp. BNL1100
1759,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
1762,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
1763,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
1882,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium perfringens,Clostridium perfringens
1954,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,,,Clostridiales Family XIII. Incertae Sedis
1991,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,Lachnospiraceae
1996,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia sp. N6H1-15,Blautia sp. N6H1-15
2006,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,,Lachnoclostridium
2008,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] saccharolyticum,[Clostridium] saccharolyticum WM1
2009,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Hungatella,Hungatella hathewayi,Hungatella hathewayi WAL-18680
2022,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,,Butyrivibrio
2050,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
2080,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,Acetobacterium woodii,Acetobacterium woodii DSM 1030
2094,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella,Christensenella minuta,Christensenella minuta
2096,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella,,Christensenella
2954,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus garvieae,Lactococcus garvieae
2956,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus garvieae,Lactococcus garvieae
3277,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus equinus,Streptococcus equinus
3287,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,Streptococcus thermophilus LMD-9
3376,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,Enterococcus faecalis
3615,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Weissella cibaria,Weissella cibaria
3877,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,Turicibacter sp. H121,Turicibacter sp. H121
3878,Tenericutes,,,,Candidatus Izimaplasma,Candidatus Izimaplasma sp. HR1,Candidatus Izimaplasma sp. HR1
3968,Tenericutes,,,,,,unclassified Tenericutes
4202,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,,,Mycoplasmataceae
4305,Tenericutes,Mollicutes,,,,,Mollicutes
4320,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,,Erysipelothrix
4321,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,,,Erysipelotrichaceae
4327,Firmicutes,,,,,,Firmicutes
4328,Firmicutes,,,,,,Firmicutes
4869,Firmicutes,,,,,,Firmicutes
4880,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,,,Peptococcaceae
4884,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,Acidaminococcus
4887,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,,Phascolarctobacterium
4897,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella parvula,Veillonella parvula
4911,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,Megasphaera elsdenii
4916,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,,,Veillonellaceae
4919,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas ruminantium,Selenomonas ruminantium subsp. lactilytica TAM6421
4926,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,,Selenomonas
4962,,,,,,,Bacteria <prokaryotes>
5020,Actinobacteria <phylum>,Coriobacteriia,Eggerthellales,Eggerthellaceae,Slackia <bacteria>,Slackia heliotrinireducens,Slackia heliotrinireducens DSM 20476
5022,Actinobacteria <phylum>,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,,Coriobacteriaceae bacterium 68-1-3,Coriobacteriaceae bacterium 68-1-3
5023,Actinobacteria <phylum>,Coriobacteriia,,,,,Coriobacteriia
5042,Actinobacteria <phylum>,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,Olsenella sp. GAM18,Olsenella sp. GAM18
5048,Actinobacteria <phylum>,Coriobacteriia,,,,,Coriobacteriia
6694,Bacteroidetes <phylum>,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,Flavobacteriaceae bacterium UJ101,Flavobacteriaceae bacterium UJ101
7173,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,,,Bacteroidales bacterium CF,Bacteroidales bacterium CF
7231,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,Muribaculum intestinale,Muribaculum intestinale
7233,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Muribaculaceae,,,Muribaculaceae
7291,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,Bacteroides salanitronis,Bacteroides salanitronis DSM 18170
7293,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella ruminicola,Prevotella ruminicola 23
7294,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella enoeca,Prevotella enoeca
7296,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,Prevotella
7320,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella denticola,Prevotella denticola
7328,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,Prevotella
7329,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,Prevotella
7330,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella dentalis,Prevotella dentalis DSM 3688
7331,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella oris,Prevotella oris
7332,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,Prevotella
7333,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,Prevotella
7334,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,Prevotella
7335,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,Prevotella
7336,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,,,Prevotellaceae
7344,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,,,,Bacteroidales
7521,Bacteroidetes <phylum>,Cytophagia,Cytophagales,Flammeovirgaceae,Flammeovirga,,Flammeovirga
7526,,,,,,,Bacteria <prokaryotes>
7598,Lentisphaerae,Lentisphaeria,Victivallales,,,Victivallales bacterium CCUG 44730,Victivallales bacterium CCUG 44730
7699,Chlamydiae <phylum>,Chlamydiia,,,,,Chlamydiia
7754,Elusimicrobia <phylum>,Elusimicrobia <class>,Elusimicrobiales,Elusimicrobiaceae,Elusimicrobium,Elusimicrobium minutum,Elusimicrobium minutum Pei191
7769,Proteobacteria,Oligoflexia,Silvanigrellales,,,Silvanigrellales bacterium RF1110005,Silvanigrellales bacterium RF1110005
9420,Proteobacteria,Betaproteobacteria,,,,,Betaproteobacteria
9653,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,Salinisphaera,Salinisphaera sp. LB1,Salinisphaera sp. LB1
10603,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,,,Zymobacter group
10712,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Tolumonas,Tolumonas auensis,Tolumonas auensis DSM 9187
11546,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli
11592,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,Escherichia albertii
11685,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,Enterobacteriaceae
11688,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,Shigella dysenteriae
11704,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,Enterobacteriaceae
11721,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli
11947,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter roggenkampii,Enterobacter roggenkampii
12145,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella quasipneumoniae,Klebsiella quasipneumoniae
12359,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,Enterobacteriaceae
12503,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Wigglesworthia,Wigglesworthia glossinidia,Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis
12840,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Arsenophonus,Arsenophonus endosymbiont of Aleurodicus dispersus,Arsenophonus endosymbiont of Aleurodicus dispersus
13479,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,,Acidithiobacillus
4,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Blastochloris,,Blastochloris
9,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea <bacteria>,Bosea sp. AS-1,Bosea sp. AS-1
37,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylorubrum,Methylorubrum extorquens,Methylorubrum extorquens
47,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium sp. C1,Methylobacterium sp. C1
53,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,,Methylobacterium
58,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Microvirga,,Microvirga
71,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,,,Beijerinckiaceae
84,Proteobacteria,Alphaproteobacteria,Rhizobiales,,Pseudorhodoplanes,Pseudorhodoplanes sinuspersici,Pseudorhodoplanes sinuspersici
85,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,Rhodoplanes sp. Z2-YC6860,Rhodoplanes sp. Z2-YC6860
146,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium ottawaense,Bradyrhizobium ottawaense
155,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Anderseniella,Anderseniella sp. Alg231-50,Anderseniella sp. Alg231-50
169,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingosinicella,Sphingosinicella microcystinivorans,Sphingosinicella microcystinivorans
305,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas panacis,Sphingomonas panacis
315,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. FARSPH,Sphingomonas sp. FARSPH
335,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. KC8,Sphingomonas sp. KC8
