,phylum,class,order,family,genus,species,taxon
7176,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,Alistipes finegoldii DSM 17242
7222,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,,Porphyromonas
7230,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella viscericola,Barnesiella viscericola DSM 18177
7231,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,Muribaculum intestinale,Muribaculum intestinale
7237,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,Parabacteroides distasonis ATCC 8503
7242,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,,Parabacteroides
7246,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,Bacteroides caecimuris,Bacteroides caecimuris
7247,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,Bacteroides caccae,Bacteroides caccae
7254,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,Bacteroides fragilis,Bacteroides fragilis
7276,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron VPI-5482
7282,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,,Bacteroides <genus>
7284,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,Bacteroides helcogenes,Bacteroides helcogenes P 36-108
7287,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,,Bacteroides <genus>
7288,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,Bacteroides vulgatus,Bacteroides vulgatus ATCC 8482
7290,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,,Bacteroides <genus>
7291,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,Bacteroides salanitronis,Bacteroides salanitronis DSM 18170
7292,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella xylaniphila,Paraprevotella xylaniphila YIT 11841
7294,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella enoeca,Prevotella enoeca
7331,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella oris,Prevotella oris
7333,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,Prevotella
7335,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,Prevotella
7336,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,,,Prevotellaceae
7337,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,,,,Bacteroidales
7342,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,,,,Bacteroidales
7344,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,,,,Bacteroidales
7347,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,Odoribacter splanchnicus,Odoribacter splanchnicus DSM 20712
8929,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella sp. KGMB03119,Sutterella sp. KGMB03119
8930,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella megalosphaeroides,Sutterella megalosphaeroides
8933,Proteobacteria,Betaproteobacteria,Burkholderiales,,,,Burkholderiales
8959,Proteobacteria,Betaproteobacteria,Burkholderiales,,,[Polyangium] brachysporum,[Polyangium] brachysporum
10964,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii,Citrobacter freundii
11320,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,Enterobacteriaceae bacterium strain FGI 57,Enterobacteriaceae bacterium strain FGI 57
11709,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli O104:H21 str. CFSAN002236
11741,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,Enterobacteriaceae
11996,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii,Citrobacter freundii
12044,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella oxytoca,Klebsiella oxytoca
12064,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella oxytoca,Klebsiella oxytoca
12103,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella,Raoultella ornithinolytica,Raoultella ornithinolytica B6
12141,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,Enterobacteriaceae
12145,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella quasipneumoniae,Klebsiella quasipneumoniae
12211,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,Enterobacteriaceae
12333,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,,Enterobacteriaceae
12403,Proteobacteria,Gammaproteobacteria,Enterobacterales,,,,Enterobacterales
356,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,,Rhodobiaceae bacterium,Rhodobiaceae bacterium
365,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hirschia,Hirschia baltica,Hirschia baltica ATCC 49814
1031,Proteobacteria,Alphaproteobacteria,Pelagibacterales,,,,Pelagibacterales
1033,Proteobacteria,Alphaproteobacteria,,,,,Alphaproteobacteria
1432,Cyanobacteria,,,,,,Cyanobacteria
1527,Cyanobacteria,,,,,,Cyanobacteria
1547,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,,Caldicellulosiruptor
1587,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,Cloacibacillus porcorum,Cloacibacillus porcorum
1592,Synergistetes,Synergistia,Synergistales,Synergistaceae,,,Synergistaceae
1702,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas,Syntrophomonas wolfei,Syntrophomonas wolfei subsp. wolfei str. Goettingen G311
1718,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,,,Oscillospiraceae
1724,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ethanoligenens,Ethanoligenens harbinense,Ethanoligenens harbinense YUAN-3
1725,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,Ruminococcaceae
1727,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,,Hungateiclostridiaceae bacterium KB18,Hungateiclostridiaceae bacterium KB18
1729,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Caproiciproducens,Caproiciproducens sp. NJN-50,Caproiciproducens sp. NJN-50
1730,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,Ruminococcaceae
1742,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
1743,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
1747,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Ruminiclostridium,Ruminiclostridium cellulolyticum,Ruminiclostridium cellulolyticum H10
1763,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
1772,Firmicutes,Clostridia,Thermoanaerobacterales,,,,Thermoanaerobacterales
1889,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium perfringens,Clostridium perfringens
1939,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,,Clostridiaceae
1950,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,Aminipila,Aminipila sp. JN-39,Aminipila sp. JN-39
1952,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,Mogibacterium,Mogibacterium diversum,Mogibacterium diversum
1953,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,,,Clostridiales Family XIII. Incertae Sedis
2004,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium sp. YL32,Lachnoclostridium sp. YL32
2008,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] saccharolyticum,[Clostridium] saccharolyticum WM1
2010,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
2017,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium phocaeense,Lachnoclostridium phocaeense
2035,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
2041,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
2044,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum,,Cellulosilyticum
2046,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,Lachnospiraceae bacterium oral taxon 500,Lachnospiraceae bacterium oral taxon 500
2050,Firmicutes,Clostridia,Clostridiales,,,,Clostridiales
2080,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Acetobacterium,Acetobacterium woodii,Acetobacterium woodii DSM 1030
2093,Firmicutes,,,,,,Firmicutes
2096,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella,,Christensenella
2097,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenella,Christensenella sp. Marseille-P3954,Christensenella sp. Marseille-P3954
2925,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,Enterococcus faecium Aus0004
3647,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus mucosae,Lactobacillus mucosae LM1
3877,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,Turicibacter sp. H121,Turicibacter sp. H121
3878,Tenericutes,,,,Candidatus Izimaplasma,Candidatus Izimaplasma sp. HR1,Candidatus Izimaplasma sp. HR1
3930,Fusobacteria <phylum>,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum,Fusobacterium nucleatum subsp. polymorphum
3970,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,Candidatus Phytoplasma mali,Candidatus Phytoplasma mali
4202,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,,,Mycoplasmataceae
4305,Tenericutes,Mollicutes,,,,,Mollicutes
4869,Firmicutes,,,,,,Firmicutes
4897,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella parvula,Veillonella parvula
4932,Firmicutes,,,,,endosymbiont 'TC1' of Trimyema compressum,endosymbiont 'TC1' of Trimyema compressum
4956,Firmicutes,,,,,,Firmicutes
4957,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Dehalobacterium,Dehalobacterium formicoaceticum,Dehalobacterium formicoaceticum
4962,,,,,,,Bacteria <prokaryotes>
4964,,,,,,,Bacteria <prokaryotes>
5020,Actinobacteria <phylum>,Coriobacteriia,Eggerthellales,Eggerthellaceae,Slackia <bacteria>,Slackia heliotrinireducens,Slackia heliotrinireducens DSM 20476
5023,Actinobacteria <phylum>,Coriobacteriia,,,,,Coriobacteriia
5024,Actinobacteria <phylum>,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Eggerthella sp. YY7918,Eggerthella sp. YY7918
5027,Actinobacteria <phylum>,Coriobacteriia,Eggerthellales,Eggerthellaceae,Denitrobacterium,Denitrobacterium detoxificans,Denitrobacterium detoxificans
5707,Actinobacteria <phylum>,Actinobacteria <class>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium dentium,Bifidobacterium dentium Bd1
6628,,,,,,,Bacteria <prokaryotes>
6693,,,,,,,Bacteria <prokaryotes>
7074,Bacteroidetes <phylum>,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium carnis,Chryseobacterium carnis
7174,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Rikenellaceae,Mucinivorans,Mucinivorans hirudinis,Mucinivorans hirudinis
7177,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,,Alistipes
7178,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Rikenellaceae,,,Rikenellaceae
7226,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,,,,Bacteroidales
7229,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,,Candidatus Azobacteroides,Candidatus Azobacteroides pseudotrichonymphae,Candidatus Azobacteroides pseudotrichonymphae
7232,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Duncaniella sp. B8,Duncaniella sp. B8
7233,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Muribaculaceae,,,Muribaculaceae
7238,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides sp. CT06,Parabacteroides sp. CT06
7260,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,Bacteroides fragilis,Bacteroides fragilis
7273,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,Bacteroides fragilis,Bacteroides fragilis
7279,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,,Bacteroides <genus>
7283,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,Bacteroides cellulosilyticus,Bacteroides cellulosilyticus
7289,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides <genus>,Bacteroides dorei,Bacteroides dorei CL03T12C01
7328,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,Prevotella
7340,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,,,,Bacteroidales
7343,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,,,,Bacteroidales
7348,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,Odoribacter splanchnicus,Odoribacter splanchnicus
7350,Bacteroidetes <phylum>,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,Butyricimonas faecalis <H184>,Butyricimonas faecalis <H184>
7598,Lentisphaerae,Lentisphaeria,Victivallales,,,Victivallales bacterium CCUG 44730,Victivallales bacterium CCUG 44730
7704,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Coraliomargarita,Coraliomargarita akajimensis,Coraliomargarita akajimensis DSM 45221
7723,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia muciniphila
7753,Acidobacteria <phylum>,,,,,,Acidobacteria <phylum>
8230,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio fairfieldensis,Desulfovibrio fairfieldensis
8238,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio vulgaris,Desulfovibrio vulgaris str. 'Miyazaki F'
8243,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,Desulfovibrio
8932,Proteobacteria,Betaproteobacteria,Burkholderiales,,,Burkholderiales bacterium YL45,Burkholderiales bacterium YL45
8973,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas kerstersii,Comamonas kerstersii
9420,Proteobacteria,Betaproteobacteria,,,,,Betaproteobacteria
9835,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter sp. AntiMn-1,Psychrobacter sp. AntiMn-1
9837,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter sp. P2G3,Psychrobacter sp. P2G3
10101,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,Pseudomonas aeruginosa
11035,Proteobacteria,Gammaproteobacteria,Enterobacterales,,,,Enterobacterales
11482,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli
11754,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli O25b:H4-ST131
12651,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus parainfluenzae,Haemophilus parainfluenzae
12729,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter segnis,Aggregatibacter segnis ATCC 33393
